Struthio camelus
Megalaima lineata
Megalaima viridis
Megalaima faiostricta
Megalaima corvina
Megalaima chrysopogon
Megalaima rafflesii
Megalaima mystacophanos
Megalaima javensis
Megalaima flavifrons
Megalaima franklinii
Megalaima oorti
Megalaima asiatica
Megalaima monticola
Megalaima incognita
Megalaima henricii
Megalaima armillaris
Megalaima pulcherrima
Megalaima australis
Megalaima eximia
Megalaima rubricapilla
Megalaima haemacephala
Calorhamphus fuliginosus
Gymnobucco calvus
Gymnobucco peli
Gymnobucco sladeni
Gymnobucco bonapartei
Stactolaema leucotis
Stactolaema anchietae
Stactolaema whytii
Stactolaema olivacea
Pogoniulus scolopaceus
Pogoniulus coryphaeus
Pogoniulus leucomystax
Pogoniulus simplex
Pogoniulus atroflavus
Pogoniulus subsulphureus
Pogoniulus bilineatus
Pogoniulus chrysoconus
Pogoniulus pusillus
Buccanodon duchaillui
Tricholaema hirsuta
Tricholaema diademata
Tricholaema frontata
Tricholaema leucomelas
Tricholaema lacrymosa
Tricholaema melanocephala
Lybius undatus
Lybius vieilloti
Lybius leucocephalus
Lybius chaplini
Lybius rubrifacies
Lybius guifsobalito
Lybius torquatus
Lybius melanopterus
Lybius minor
Lybius bidentatus
Lybius dubius
Lybius rolleti
Trachyphonus purpuratus
Trachyphonus vaillantii
Trachyphonus margaritatus
Trachyphonus erythrocephalus
Trachyphonus darnaudii
Trachyphonus usambiro
Capito aurovirens
Capito maculicoronatus
Capito squamatus
Capito hypoleucus
Capito dayi
Capito quinticolor
Capito niger
Capito brunneipectus
Eubucco richardsoni
Eubucco bourcierii
Eubucco tucinkae
Eubucco versicolor
Semnornis frantzii
Semnornis ramphastinus
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Aulacorhynchus derbianus
Aulacorhynchus haematopygus
Aulacorhynchus huallagae
Aulacorhynchus coeruleicinctis
Pteroglossus inscriptus
Pteroglossus viridis
Pteroglossus bitorquatus
Pteroglossus azara
Pteroglossus mariae
Pteroglossus castanotis
Pteroglossus aracari
Pteroglossus torquatus
